day,date,week,phase,platform_primary,platform_adaptations,format,content_pillar,objective,funnel_stage,topic,narrative_angle,hook,on_screen_text,visual_concept,caption,cta,hashtags,dimensions,duration,assets_required,visual_prompt,motion_prompt,master_file,export_file,destination_folder,status,approval,publication_time,notes
43,2026-09-07,7,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"TikTok, Facebook, YouTube Short",Reel/Short,Control del negocio,Agitar el dolor y generar identificación.,TOFU (Atención),El cliente que no encontró cómo pedir,"Sin un flujo claro de pedido, el antojo no se convierte en venta.",Le encantó tu foto… pero no supo cómo pedir,"Si no es fácil, no compra","[T01-pain] Si no es fácil, no compra","Le encantó tu foto… pero no supo cómo pedir

Sin un flujo claro de pedido, el antojo no se convierte en venta.

Con StreetBoss tu menú se vuelve un escaparate: el cliente arma su pedido y te cae ordenado al WhatsApp. Vende directo. Manda tú.

Comenta “DIRECTO” y te mandamos cómo se ve tu menú.

#StreetBoss #VendeDirecto #Restaurantes",Comenta “DIRECTO” y te mandamos cómo se ve tu menú.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Escena editorial que ilustra el dolor operativo de un restaurante: El cliente que no encontró cómo pedir. Ambiente de cocina/mostrador real, luz tensa, tonos oscuros, sensación de saturación y desorden. Enfoque en manos y objetos (teléfono, tickets, comandas), sin rostros. Espacio negativo para texto. Sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara nerviosa handheld, cortes rápidos que transmiten saturación; whip-pan entre teléfono y cocina; resolución de tensión al aparecer el escaparate ordenado.",04-social-templates/pain/T01-pain.md,day-43_el-cliente-que-no-encontro-como-pedir_pain.png,07-reels/month-02/,PENDIENTE,NO APROBADO,13:30,"Adaptar hook/duración por plataforma: TikTok, Facebook, YouTube Short."
44,2026-09-08,7,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"LinkedIn Document, Facebook",Carrusel,Educación gastronómica,Educar y posicionar la categoría. Guardados y autoridad.,MOFU (Interés/Demostración),Mobile first: por qué importa,Por qué el menú debe diseñarse para el pulgar.,El 80% de tus clientes pide desde el celular,Piensa en móvil,[T07-carousel-edu] Piensa en móvil,"El 80% de tus clientes pide desde el celular

Guárdalo para tu negocio de comida.

Por qué el menú debe diseñarse para el pulgar.

En StreetBoss convertimos tu menú en un escaparate que vende directo, sin comisiones.

Guarda esto y compártelo con ese restaurante que lo necesita.

#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta",Guarda esto y compártelo con ese restaurante que lo necesita.,#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Mobile first: por qué importa. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/carousel/T07-carousel-edu.md,day-44_mobile-first-por-que-importa_carousel.png,06-posts/month-02/,PENDIENTE,NO APROBADO,12:00,"Adaptar hook/duración por plataforma: LinkedIn Document, Facebook."
45,2026-09-09,7,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"TikTok, YouTube Short",Reel/Short,Producto,Demostrar fricción cero y capacidades reales del escaparate.,MOFU (Interés/Demostración),Sin apps que descargar,El escaparate abre desde un link o QR. Instantáneo.,Tu cliente pide sin bajar ninguna app,Abre y pide,[T05-product] Abre y pide,"Tu cliente pide sin bajar ninguna app

El escaparate abre desde un link o QR. Instantáneo.

Así de simple: tu comida bien mostrada y el pedido perfecto en tu WhatsApp. Sin comisiones, sin apps que descargar.

Pídenos una demo por WhatsApp. Sin compromiso.

#StreetBoss #VendeDirecto #Restaurantes",Pídenos una demo por WhatsApp. Sin compromiso.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Screen capture real del escaparate · Tipografía Poppins/Inter,"Mockup 3D hiperrealista de un celular mostrando un escaparate digital de restaurante (interfaz oscura, tarjetas de producto con foto grande y botón naranja), sostenido por una mano sobre una mesa de restaurante con ingredientes desenfocados al fondo (bokeh). Iluminación de estudio dramática, fondo oscuro. Concepto: Sin apps que descargar. Sin logo (se integra después). Proporciones de UI precisas y legibles. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",Screen-capture real de la interfaz + planos B-roll de la mano tocando la pantalla. Movimiento de seguimiento suave del dedo (tap → agregar → enviar). Zoom sutil al ticket de WhatsApp. Cortes rápidos al beat.,04-social-templates/product/T05-product.md,day-45_sin-apps-que-descargar_product.png,07-reels/month-02/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
46,2026-09-10,7,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,Facebook,Post gráfico,Comparativas,Diferenciar con datos y comparativas claras.,MOFU (Interés/Demostración),WhatsApp: donde ya estás,Dato de penetración de WhatsApp (contexto LatAm).,Tus clientes ya usan WhatsApp. El pedido cae ahí.,Sin apps nuevas,[T08-data] Sin apps nuevas,"Tus clientes ya usan WhatsApp. El pedido cae ahí.

Dato de penetración de WhatsApp (contexto LatAm).

StreetBoss: la plataforma visual de venta directa para restaurantes.

Escríbenos por WhatsApp y arma tu escaparate.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Escríbenos por WhatsApp y arma tu escaparate.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre WhatsApp: donde ya estás. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/data/T08-data.md,day-46_whatsapp-donde-ya-estas_data.png,06-posts/month-02/,PENDIENTE,NO APROBADO,18:30,Adaptar hook/duración por plataforma: Facebook.
47,2026-09-11,7,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"TikTok, YouTube Short",Reel/Short,Fotografía gastronómica,Deseo/branding aspiracional (FoodPorn). Alcance y recordación.,TOFU (Atención),Postre con chocolate cayendo,"Cámara lenta, chocolate líquido, textura.",El chocolate cayendo lento sobre el postre,El final feliz,[T06-foodporn] El final feliz,"El chocolate cayendo lento sobre el postre

Así se ve tu menú antes de que lleguen. Tu pastel de chocolate merece una vitrina, no una lista.

Escaparate digital + pedido directo a tu WhatsApp.

El link de tu escaparate va en tu bio. Nosotros te lo armamos.

#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes",El link de tu escaparate va en tu bio. Nosotros te lo armamos.,#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fotografía hiperrealista de producto gastronómico de alta gama: pastel de chocolate. Estilo Food Porn premium. Luz dura moody que resalte texturas, brillo de la grasa y volumen. Fondo oscuro con textura de plato oscuro mate. Colores saturados del espectro del apetito. Macro/close-up, lente 85mm, calidad cinematográfica. Sin logo, sin texto. Manos permitidas, sin rostros. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara lenta cinematográfica (slow motion). Movimiento de push-in macro hacia la textura; vapor/goteo natural; ligero parallax. 24-30fps, transiciones por match-cut de textura.",04-social-templates/foodporn/T06-foodporn.md,day-47_postre-con-chocolate-cayendo_foodporn.png,07-reels/month-02/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
48,2026-09-12,7,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,Facebook,Post gráfico,Cultura StreetBoss,"Construir marca, comunidad y pertenencia.",TOFU (Atención),La comida es la protagonista,Filosofía: la tech opera en segundo plano.,"Aquí la estrella es tu comida, no la tecnología",Tú al centro,[T10-culture] Tú al centro,"Aquí la estrella es tu comida, no la tecnología

Filosofía: la tech opera en segundo plano.

StreetBoss existe para que tu restaurante venda bajo sus propias reglas.

Síguenos para vender directo y mandar tú.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Síguenos para vender directo y mandar tú.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre La comida es la protagonista. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/brand/T10-culture.md,day-48_la-comida-es-la-protagonista_culture.png,06-posts/month-02/,PENDIENTE,NO APROBADO,11:00,Adaptar hook/duración por plataforma: Facebook.
49,2026-09-13,7,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"Facebook, LinkedIn",Post gráfico,Precio fundador,Convertir: activar cupo fundador y resolver objeciones.,BOFU (Conversión),Lo que incluye tu escaparate,Enumerar el alcance real (sin prometer roadmap).,Escaparate + carrito + pedido a WhatsApp + panel,Todo lo que necesitas para vender,[T13-founder-price] Todo lo que necesitas para vender,"Escaparate + carrito + pedido a WhatsApp + panel

Se buscan restaurantes y negocios de comida que quieran probar su escaparate digital con precio fundador de lanzamiento: $100 MXN mensuales.

Sin comisiones por pedido. Sin apps. Tu escaparate, tu WhatsApp, tu marca.

Cupo fundador abierto. Escríbenos por WhatsApp.

#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto",Cupo fundador abierto. Escríbenos por WhatsApp.,#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Lo que incluye tu escaparate. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/commercial/T13-founder-price.md,day-49_lo-que-incluye-tu-escaparate_commercial.png,06-posts/month-02/,PENDIENTE,NO APROBADO,19:00,"Adaptar hook/duración por plataforma: Facebook, LinkedIn."
50,2026-09-14,8,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"TikTok, Facebook, YouTube Short",Reel/Short,Control del negocio,Agitar el dolor y generar identificación.,TOFU (Atención),La guerra de precios del marketplace,El marketplace te vuelve un commodity. Tu marca desaparece.,En la app compites por precio contra tu vecino,Ahí solo gana la app,[T01-pain] Ahí solo gana la app,"En la app compites por precio contra tu vecino

El marketplace te vuelve un commodity. Tu marca desaparece.

Con StreetBoss tu menú se vuelve un escaparate: el cliente arma su pedido y te cae ordenado al WhatsApp. Vende directo. Manda tú.

Comenta “DIRECTO” y te mandamos cómo se ve tu menú.

#StreetBoss #VendeDirecto #Restaurantes",Comenta “DIRECTO” y te mandamos cómo se ve tu menú.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Escena editorial que ilustra el dolor operativo de un restaurante: La guerra de precios del marketplace. Ambiente de cocina/mostrador real, luz tensa, tonos oscuros, sensación de saturación y desorden. Enfoque en manos y objetos (teléfono, tickets, comandas), sin rostros. Espacio negativo para texto. Sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara nerviosa handheld, cortes rápidos que transmiten saturación; whip-pan entre teléfono y cocina; resolución de tensión al aparecer el escaparate ordenado.",04-social-templates/pain/T01-pain.md,day-50_la-guerra-de-precios-del-marketplace_pain.png,07-reels/month-02/,PENDIENTE,NO APROBADO,13:30,"Adaptar hook/duración por plataforma: TikTok, Facebook, YouTube Short."
51,2026-09-15,8,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"LinkedIn Document, Facebook",Carrusel,Educación gastronómica,Educar y posicionar la categoría. Guardados y autoridad.,MOFU (Interés/Demostración),Cómo describir un platillo que vende,Fórmula de descripción: sensación + ingrediente estrella + porción.,Las palabras que despiertan el antojo,Vende con palabras,[T07-carousel-edu] Vende con palabras,"Las palabras que despiertan el antojo

Guárdalo para tu negocio de comida.

Fórmula de descripción: sensación + ingrediente estrella + porción.

En StreetBoss convertimos tu menú en un escaparate que vende directo, sin comisiones.

Guarda esto y compártelo con ese restaurante que lo necesita.

#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta",Guarda esto y compártelo con ese restaurante que lo necesita.,#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Cómo describir un platillo que vende. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/carousel/T07-carousel-edu.md,day-51_como-describir-un-platillo-que-vende_carousel.png,06-posts/month-02/,PENDIENTE,NO APROBADO,12:00,"Adaptar hook/duración por plataforma: LinkedIn Document, Facebook."
52,2026-09-16,8,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"TikTok, YouTube Short",Reel/Short,Producto,Demostrar fricción cero y capacidades reales del escaparate.,MOFU (Interés/Demostración),El QR en tu mesa,"El mismo escaparate sirve en mesa, bio y estados.",Un QR en la mesa = pedido para llevar mientras comen aquí,Vende en cada mesa,[T05-product] Vende en cada mesa,"Un QR en la mesa = pedido para llevar mientras comen aquí

El mismo escaparate sirve en mesa, bio y estados.

Así de simple: tu comida bien mostrada y el pedido perfecto en tu WhatsApp. Sin comisiones, sin apps que descargar.

Pídenos una demo por WhatsApp. Sin compromiso.

#StreetBoss #VendeDirecto #Restaurantes",Pídenos una demo por WhatsApp. Sin compromiso.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Screen capture real del escaparate · Tipografía Poppins/Inter,"Mockup 3D hiperrealista de un celular mostrando un escaparate digital de restaurante (interfaz oscura, tarjetas de producto con foto grande y botón naranja), sostenido por una mano sobre una mesa de restaurante con ingredientes desenfocados al fondo (bokeh). Iluminación de estudio dramática, fondo oscuro. Concepto: El QR en tu mesa. Sin logo (se integra después). Proporciones de UI precisas y legibles. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",Screen-capture real de la interfaz + planos B-roll de la mano tocando la pantalla. Movimiento de seguimiento suave del dedo (tap → agregar → enviar). Zoom sutil al ticket de WhatsApp. Cortes rápidos al beat.,04-social-templates/product/T05-product.md,day-52_el-qr-en-tu-mesa_product.png,07-reels/month-02/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
53,2026-09-17,8,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,Facebook,Post gráfico,Comparativas,Diferenciar con datos y comparativas claras.,MOFU (Interés/Demostración),"1 link, todos tus canales",Versatilidad del link de venta directa.,"Bio, QR, estados: un solo link para vender",Un link para todo,[T08-data] Un link para todo,"Bio, QR, estados: un solo link para vender

Versatilidad del link de venta directa.

StreetBoss: la plataforma visual de venta directa para restaurantes.

Escríbenos por WhatsApp y arma tu escaparate.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Escríbenos por WhatsApp y arma tu escaparate.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre 1 link, todos tus canales. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/data/T08-data.md,day-53_1-link-todos-tus-canales_data.png,06-posts/month-02/,PENDIENTE,NO APROBADO,18:30,Adaptar hook/duración por plataforma: Facebook.
54,2026-09-18,8,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"TikTok, YouTube Short",Reel/Short,Fotografía gastronómica,Deseo/branding aspiracional (FoodPorn). Alcance y recordación.,TOFU (Atención),Sushi rolls en fila,"Top-down parcial, colores saturados.",Los rolls perfectamente alineados y brillando,Precisión que se antoja,[T06-foodporn] Precisión que se antoja,"Los rolls perfectamente alineados y brillando

Así se ve tu menú antes de que lleguen. Tu sushi variado merece una vitrina, no una lista.

Escaparate digital + pedido directo a tu WhatsApp.

El link de tu escaparate va en tu bio. Nosotros te lo armamos.

#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes",El link de tu escaparate va en tu bio. Nosotros te lo armamos.,#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fotografía hiperrealista de producto gastronómico de alta gama: sushi variado. Estilo Food Porn premium. Luz dura moody que resalte texturas, brillo de la grasa y volumen. Fondo oscuro con textura de pizarra negra. Colores saturados del espectro del apetito. Macro/close-up, lente 85mm, calidad cinematográfica. Sin logo, sin texto. Manos permitidas, sin rostros. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara lenta cinematográfica (slow motion). Movimiento de push-in macro hacia la textura; vapor/goteo natural; ligero parallax. 24-30fps, transiciones por match-cut de textura.",04-social-templates/foodporn/T06-foodporn.md,day-54_sushi-rolls-en-fila_foodporn.png,07-reels/month-02/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
55,2026-09-19,8,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,Facebook,Post gráfico,Cultura StreetBoss,"Construir marca, comunidad y pertenencia.",TOFU (Atención),Soberanía gastronómica,Valor corporativo #1 en pieza de marca.,"Tus datos, tus clientes y tu marca son tuyos",Soberanía,[T10-culture] Soberanía,"Tus datos, tus clientes y tu marca son tuyos

Valor corporativo #1 en pieza de marca.

StreetBoss existe para que tu restaurante venda bajo sus propias reglas.

Síguenos para vender directo y mandar tú.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Síguenos para vender directo y mandar tú.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Soberanía gastronómica. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/brand/T10-culture.md,day-55_soberania-gastronomica_culture.png,06-posts/month-02/,PENDIENTE,NO APROBADO,11:00,Adaptar hook/duración por plataforma: Facebook.
56,2026-09-20,8,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"Facebook, LinkedIn",Post gráfico,Precio fundador,Convertir: activar cupo fundador y resolver objeciones.,BOFU (Conversión),Cómo empezar hoy,Pasos concretos para activar el precio fundador.,"Escríbenos, armamos tu menú y vendes esta semana",Arranca esta semana,[T13-founder-price] Arranca esta semana,"Escríbenos, armamos tu menú y vendes esta semana

Se buscan restaurantes y negocios de comida que quieran probar su escaparate digital con precio fundador de lanzamiento: $100 MXN mensuales.

Sin comisiones por pedido. Sin apps. Tu escaparate, tu WhatsApp, tu marca.

Cupo fundador abierto. Escríbenos por WhatsApp.

#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto",Cupo fundador abierto. Escríbenos por WhatsApp.,#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Cómo empezar hoy. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/commercial/T13-founder-price.md,day-56_como-empezar-hoy_commercial.png,06-posts/month-02/,PENDIENTE,NO APROBADO,19:00,"Adaptar hook/duración por plataforma: Facebook, LinkedIn."
57,2026-09-21,9,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"TikTok, Facebook, YouTube Short",Reel/Short,Control del negocio,Agitar el dolor y generar identificación.,TOFU (Atención),Tu marca escondida,El intermediario tapa tu identidad. Eres un renglón más.,"En la app, tu logo es del tamaño de una uña",¿Dónde quedó tu marca?,[T01-pain] ¿Dónde quedó tu marca?,"En la app, tu logo es del tamaño de una uña

El intermediario tapa tu identidad. Eres un renglón más.

Con StreetBoss tu menú se vuelve un escaparate: el cliente arma su pedido y te cae ordenado al WhatsApp. Vende directo. Manda tú.

Comenta “DIRECTO” y te mandamos cómo se ve tu menú.

#StreetBoss #VendeDirecto #Restaurantes",Comenta “DIRECTO” y te mandamos cómo se ve tu menú.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Escena editorial que ilustra el dolor operativo de un restaurante: Tu marca escondida. Ambiente de cocina/mostrador real, luz tensa, tonos oscuros, sensación de saturación y desorden. Enfoque en manos y objetos (teléfono, tickets, comandas), sin rostros. Espacio negativo para texto. Sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara nerviosa handheld, cortes rápidos que transmiten saturación; whip-pan entre teléfono y cocina; resolución de tensión al aparecer el escaparate ordenado.",04-social-templates/pain/T01-pain.md,day-57_tu-marca-escondida_pain.png,07-reels/month-02/,PENDIENTE,NO APROBADO,13:30,"Adaptar hook/duración por plataforma: TikTok, Facebook, YouTube Short."
58,2026-09-22,9,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"LinkedIn Document, Facebook",Carrusel,Educación gastronómica,Educar y posicionar la categoría. Guardados y autoridad.,MOFU (Interés/Demostración),Tu marca vs. ser un renglón,Branding gastronómico: por qué tu logo y tu historia venden.,Cómo recuperar tu identidad frente a los agregadores,Tu marca importa,[T07-carousel-edu] Tu marca importa,"Cómo recuperar tu identidad frente a los agregadores

Guárdalo para tu negocio de comida.

Branding gastronómico: por qué tu logo y tu historia venden.

En StreetBoss convertimos tu menú en un escaparate que vende directo, sin comisiones.

Guarda esto y compártelo con ese restaurante que lo necesita.

#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta",Guarda esto y compártelo con ese restaurante que lo necesita.,#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Tu marca vs. ser un renglón. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/carousel/T07-carousel-edu.md,day-58_tu-marca-vs-ser-un-renglon_carousel.png,06-posts/month-02/,PENDIENTE,NO APROBADO,12:00,"Adaptar hook/duración por plataforma: LinkedIn Document, Facebook."
